date,action,buy_period,buy_thr,sell_period,sell_thr,rsi_low_at_d,rsi_high_at_d,rsi_close_at_d,condition_met,price,mode,reason,low_price,high_price
2020-12-10 00:00:00,BUY,2,24.0,2,90.0,11.5780890506,40.159369692,18.4490060216,Yes,28.97800064085,NO_SOLUTION,,28.1340007782,29.8220005035
2021-01-04 00:00:00,SELL,2,24.0,2,90.0,31.7741036911,98.346183303,54.1203817348,Yes,31.7926673889,NO_SOLUTION,,29.9306678772,33.6546669006
2021-01-27 00:00:00,BUY,2,24.0,2,90.0,2.871021327,6.5503933192,3.1051228936,Yes,37.0486679077,FAST_HIGH,,32.5386657715,37.0486679077
2021-02-12 00:00:00,SELL,2,24.0,2,90.0,65.5437503508,97.4498822349,97.3012068347,Yes,44.50866699215,NO_SOLUTION,,43.0040016174,46.0133323669
2021-02-23 00:00:00,BUY,2,24.0,2,90.0,9.1915110349,23.0880365001,19.1776195871,Yes,40.7439994812,FAST_HIGH,,35.0693321228,40.7439994812
2021-04-05 00:00:00,SELL,2,24.0,2,90.0,95.0803992356,97.0392916486,96.8835279238,Yes,42.9099998474,FAST_LOW,,42.9099998474,45.2999992371
2021-04-14 00:00:00,BUY,2,24.0,2,90.0,4.6816970151,59.7864099602,6.0661503798,Yes,42.0500011444,NO_SOLUTION,,40.6300010681,43.4700012207
2023-08-01 00:00:00,SELL,2,24.0,2,90.0,42.3541396719,93.031628606,91.6713446443,Yes,28.07999992375,NO_SOLUTION,,27.4400005341,28.7199993134
2023-08-03 00:00:00,BUY,2,24.0,2,90.0,7.2462071301,24.8162915275,11.1624304698,Yes,24.83500003815,NO_SOLUTION,,24.0699996948,25.6000003815
2024-04-29 00:00:00,SELL,2,24.0,2,90.0,62.9190084851,96.8576041238,96.6213428741,Yes,39.770000457799995,NO_SOLUTION,,38.7099990845,40.8300018311
2024-05-02 00:00:00,BUY,2,24.0,2,90.0,11.2972508372,53.4009976995,49.0778156507,Yes,35.51499938965,NO_SOLUTION,,34.1199989319,36.9099998474
