date,rsi_low,rsi_high,rsi_close,price_low,price_high,price,is_buy_prev,is_buy_condi,is_buy,is_sell_prev,is_sell_condi,is_sell,regime_ok
2010-07-19 00:00:00,,,,0.5471670032,0.5855000019,,,,False,,,False,False
2010-07-20 00:00:00,,,100.0,0.5196670294,0.5851669908,,,,False,,,False,False
2010-07-21 00:00:00,2.0750680978,100.0,2.2939771972,0.5456669927,0.596167028,,False,True,False,True,True,False,False
2010-07-22 00:00:00,34.2586128184,77.9046781972,74.0875073425,0.5583329797,0.6116669774,,True,False,False,False,False,False,False
2010-07-23 00:00:00,46.7740449236,82.2204344544,80.6010476865,0.5798329711,0.6154999733,,False,False,False,False,False,False,False
2010-07-26 00:00:00,44.9245042793,90.8268645569,90.1114135059,0.593167007,0.6368330121,,False,False,False,False,True,False,False
2010-07-27 00:00:00,46.5467066609,93.8829362719,57.0546297093,0.6123329997,0.647167027,,False,False,False,True,True,False,False
2010-07-28 00:00:00,16.9282942471,68.142579118,20.265440491,0.5783330202,0.6265000105,,False,True,False,False,False,False,False
2010-07-29 00:00:00,6.0942074033,39.3212425918,8.3397690562,0.5301669836,0.5960000157,,True,True,False,False,False,False,False
2010-07-30 00:00:00,3.3636127559,6.8053236198,5.305335918,0.5076670051,0.5456669927,,True,True,False,False,False,False,False
2010-08-02 00:00:00,26.8137495754,62.6067611184,56.750946924,0.5421670079,0.5716670156,,True,False,False,False,False,False,False
2010-08-03 00:00:00,25.8518317841,58.8543092082,34.3541087615,0.5323330164,0.5648329854,,False,False,False,False,False,False,False
2010-08-04 00:00:00,20.7230877145,63.9362378045,62.3346810131,0.5323330164,0.5641670227,,False,True,False,False,False,False,False
2010-08-05 00:00:00,30.8403146969,69.6187660273,36.2564529428,0.543332994,0.5669999719,,False,False,False,False,False,False,False
2010-08-06 00:00:00,16.2640892601,63.4445016812,38.7869150415,0.5291669965,0.5609999895,,False,True,False,False,False,False,False
2010-08-09 00:00:00,18.0342856102,79.7551540079,70.4475478407,0.5400000215,0.5666670203,,False,True,False,False,False,False,False
2010-08-10 00:00:00,9.212065966,23.8486418177,11.8934118328,0.5008329749,0.5416669846,,False,True,False,False,False,False,False
2010-08-11 00:00:00,3.036261935,5.2446143471,3.485141873,0.4406670034,0.4831669927,,True,True,False,False,False,False,False
2010-08-12 00:00:00,1.6844620394,2.7297342823,2.4661339624,0.4066669941,0.4415000081,,True,True,False,False,False,False,False
2010-08-13 00:00:00,1.700029651,32.7650215261,1.7320443718,0.4214999974,0.4494999945,,True,True,False,False,False,False,False
2010-08-16 00:00:00,1.0606517433,45.1399928187,17.8333323589,0.4083330035,0.4398329854,,True,True,False,False,False,False,False
2010-08-17 00:00:00,45.8237363033,75.6120059277,63.2358333985,0.4334999919,0.4580000043,,True,False,False,False,False,False,False
2010-08-18 00:00:00,47.6527931802,85.0232355478,81.6513048286,0.4381670058,0.46450001,,False,False,False,False,False,False,False
2010-08-19 00:00:00,27.5974893339,83.3392130479,31.9773221283,0.4288330078,0.4593330026,,False,False,False,False,False,False,False
2010-08-20 00:00:00,26.2026199278,65.156374492,46.206177607,0.4306670129,0.4528329968,,False,False,False,False,False,False,False
2010-08-23 00:00:00,19.7568770139,75.694493967,20.1167228621,0.4238330126,0.4543330073,,False,True,False,False,False,False,False
2010-08-24 00:00:00,6.1507301214,12.9076505593,7.8385046936,0.3931669891,0.4166670144,,True,True,False,False,False,False,False
2010-08-25 00:00:00,3.6383008912,53.5515126487,45.4923825188,0.3824999928,0.4201669991,,True,True,False,False,False,False,False
2010-08-26 00:00:00,15.7934105101,66.9496883627,17.5682717761,0.3869999945,0.4246670008,,False,True,False,False,False,False,False
2010-08-27 00:00:00,8.6227681209,66.2688722531,62.7067644549,0.371333003,0.419167012,,True,True,False,False,False,False,False
2010-08-30 00:00:00,25.7063942007,61.2688806587,26.0405897883,0.3840000033,0.4141669869,,False,False,False,False,False,False,False
2010-08-31 00:00:00,12.0392307893,37.7654291333,13.3196521854,0.3548330069,0.3894999921,,False,True,False,False,False,False,False
2010-09-01 00:00:00,45.3068572263,69.1285510266,62.8922477101,0.3748329878,0.4054999948,,True,False,False,False,False,False,False
2010-09-02 00:00:00,60.152447434,80.4014666516,80.4014666516,0.3923330009,0.4198330045,,False,False,False,False,False,False,False
2010-09-03 00:00:00,72.1617628093,90.1900919336,88.1594597613,0.4166670144,0.4474999905,,False,False,False,False,True,False,False
2010-09-07 00:00:00,39.7078998874,86.2795153842,43.3989293112,0.4099999964,0.4375,,False,False,False,False,False,False,False
2010-09-08 00:00:00,24.1945017502,52.5586575025,33.5600409821,0.3958329856,0.4188329875,,False,False,False,False,False,False,False
2010-09-09 00:00:00,27.7320716894,68.1160989037,40.1774102616,0.4043329954,0.4238330126,,False,False,False,False,False,False,False
2010-09-10 00:00:00,8.0304965468,49.2704230225,13.7975124588,0.3756670058,0.4106670022,,False,True,False,False,False,False,False
2010-09-13 00:00:00,55.338658466,79.8730001923,79.479767172,0.4045000076,0.4331670105,,True,False,False,False,False,False,False
2010-09-14 00:00:00,49.1008043901,90.4676697572,88.7686593129,0.4163329899,0.4616670012,,False,False,False,False,True,False,False
2010-09-15 00:00:00,45.9020846621,80.1933311051,77.2098809996,0.4314999878,0.4508329928,,False,False,False,False,False,False,False
2010-09-16 00:00:00,41.0589595216,87.552550096,86.6480058815,0.4379999936,0.4609999955,,False,False,False,False,False,False,False
2010-09-17 00:00:00,54.2995113015,92.3947929551,87.0258088755,0.4524999857,0.4679999948,,False,False,False,False,True,False,False
2010-09-20 00:00:00,26.024465859,94.5569611299,93.2842497622,0.4458329976,0.4678330123,,False,False,False,False,True,False,False
2010-09-21 00:00:00,40.28560332,97.3956731825,59.9698763044,0.4576669931,0.4741669893,,False,False,False,True,True,False,False
2010-09-22 00:00:00,7.8359150256,44.8104573638,11.2666451608,0.4325000048,0.4605000019,,False,True,False,False,False,False,False
2010-09-23 00:00:00,4.0950483542,75.8178986429,48.4200768242,0.4221670032,0.4743329883,,True,True,False,False,False,False,False
2010-09-24 00:00:00,82.8256122234,92.1252313613,91.7961339831,0.4716669917,0.5076670051,,False,False,False,False,True,False,False
2010-09-27 00:00:00,63.1151806678,92.9394575322,72.1883856975,0.4905000031,0.5101670027,,False,False,False,True,True,False,False
2010-09-28 00:00:00,42.0993577418,87.8102593019,87.0155570921,0.4818330109,0.5223330259,,False,False,False,False,False,False,False
2010-09-29 00:00:00,60.5436399713,93.7159525992,91.5094704357,0.5099999905,0.5426669717,,False,False,False,False,True,False,False
2010-09-30 00:00:00,35.5372854139,96.0391882837,54.0772308142,0.504832983,0.5500000119,,False,False,False,True,True,False,False
2010-10-01 00:00:00,24.2165818944,78.5230275396,38.8689818257,0.5021669865,0.53549999,,False,False,False,False,False,False,False
2010-10-04 00:00:00,7.927299883,30.5395124661,12.3488365052,0.4758329988,0.5113329887,,False,True,False,False,False,False,False
2010-10-05 00:00:00,47.5595649333,73.4937512612,70.8174217065,0.5033329725,0.5285000205,,True,False,False,False,False,False,False
2010-10-06 00:00:00,27.532914613,71.2331880934,39.8109151095,0.4875000119,0.5241670012,,False,False,False,False,False,False,False
2010-10-07 00:00:00,21.5036654909,55.638597119,40.2958345256,0.4883329868,0.5131670237,,False,True,False,False,False,False,False
2010-10-08 00:00:00,13.6763479418,78.8106074813,76.9701928724,0.4858329892,0.5248330235,,False,True,False,False,False,False,False
