date,action,buy_period,buy_thr,sell_period,sell_thr,rsi_low_at_d,rsi_high_at_d,rsi_close_at_d,condition_met,price,mode,reason,low_price,high_price
2012-03-08 00:00:00,SELL,2,20.0,2,50.0,63.965488645,78.5703509425,76.4160515298,Yes,0.621999979,FAST_LOW,,0.621999979,0.6456670165
2012-04-04 00:00:00,BUY,2,20.0,2,50.0,1.7308825487,3.3008377927,2.1778888582,Yes,0.6743329763,FAST_HIGH,,0.6341670156,0.6743329763
2012-04-12 00:00:00,SELL,2,20.0,2,50.0,55.1194295048,80.513451763,78.0151533211,Yes,0.6276670098,FAST_LOW,,0.6276670098,0.6675000191
2012-04-23 00:00:00,BUY,2,20.0,2,50.0,3.1749827009,4.3283436526,4.2323055182,Yes,0.5543329716,FAST_HIGH,,0.5356670022,0.5543329716
2012-04-26 00:00:00,SELL,2,20.0,2,50.0,70.2976510587,86.2973559407,85.5787198799,Yes,0.5803329945,FAST_LOW,,0.5803329945,0.6181669831
2012-05-04 00:00:00,BUY,2,20.0,2,50.0,5.971915012,15.6213346746,6.1271698823,Yes,0.5766670108,FAST_HIGH,,0.5375000238,0.5766670108
2012-05-22 00:00:00,SELL,2,20.0,2,50.0,34.147272748,56.933525487,42.6151320202,Yes,0.43633349239999997,NO_SOLUTION,,0.4269999862,0.4456669986
2012-06-04 00:00:00,BUY,2,20.0,2,50.0,4.4406006408,32.1407966653,5.5663554752,Yes,0.37441650034999996,NO_SOLUTION,,0.3603329957,0.388500005
2012-06-06 00:00:00,SELL,2,20.0,2,50.0,71.5175283113,85.493571593,85.0669546231,Yes,0.405667007,FAST_LOW,,0.405667007,0.4371669888
2012-06-26 00:00:00,BUY,2,20.0,2,50.0,14.206168761,37.6275650821,25.5233925727,Yes,0.40666650235,NO_SOLUTION,,0.396333009,0.4169999957
2012-07-02 00:00:00,SELL,2,20.0,2,50.0,67.1616177288,91.2296807201,83.2929763904,Yes,0.4598329961,FAST_LOW,,0.4598329961,0.4823330045
2012-07-09 00:00:00,BUY,2,20.0,2,50.0,9.3997877415,22.0521814153,10.9313269664,Yes,0.43108300865000004,NO_SOLUTION,,0.4193330109,0.4428330064
2012-07-19 00:00:00,SELL,2,20.0,2,50.0,90.1176543313,93.1013359168,91.8039466444,Yes,0.4116669893,FAST_LOW,,0.4116669893,0.4288330078
2012-08-15 00:00:00,BUY,2,20.0,2,50.0,9.5912766162,64.9975923912,52.8614989409,Yes,0.5220000147999999,NO_SOLUTION,,0.507833004,0.5361670256
2012-08-16 00:00:00,SELL,2,20.0,2,50.0,46.2957397271,87.020398372,86.9065551305,Yes,0.54199999575,NO_SOLUTION,,0.5273330212,0.5566669703
2012-08-23 00:00:00,BUY,2,20.0,2,50.0,4.5115269432,10.8490684532,6.6110846402,Yes,0.5181670189,FAST_HIGH,,0.5009999871,0.5181670189
2012-09-04 00:00:00,SELL,2,20.0,2,50.0,21.2107248655,58.7446738397,34.8436776224,Yes,0.4923334867,NO_SOLUTION,,0.4774999917,0.5071669817
2012-09-20 00:00:00,BUY,2,20.0,2,50.0,5.635214564,12.7189838052,7.7831615525,Yes,0.50849998,FAST_HIGH,,0.4900000095,0.50849998
2012-09-28 00:00:00,SELL,2,20.0,2,50.0,39.3701537515,58.703347324,41.03632544,Yes,0.45391650495,NO_SOLUTION,,0.4478330016,0.4600000083
2012-10-09 00:00:00,BUY,2,20.0,2,50.0,4.7218996823,11.9178356411,5.3300960818,Yes,0.4358330071,FAST_HIGH,,0.4146670103,0.4358330071
2012-10-16 00:00:00,SELL,2,20.0,2,50.0,76.6762458033,90.9300060713,90.5847771609,Yes,0.4174999893,FAST_LOW,,0.4174999893,0.4424999952
2012-10-22 00:00:00,BUY,2,20.0,2,50.0,7.4153969878,36.6805803826,9.074159528,Yes,0.39241699875,NO_SOLUTION,,0.3841669858,0.4006670117
2012-10-26 00:00:00,SELL,2,20.0,2,50.0,45.9965353735,78.4978825856,69.7301871035,Yes,0.39525000755,NO_SOLUTION,,0.3866670132,0.4038330019
2012-11-09 00:00:00,BUY,2,20.0,2,50.0,17.7901430434,56.5954132974,29.2086350581,Yes,0.40783299505,NO_SOLUTION,,0.3978329897,0.4178330004
2012-11-20 00:00:00,SELL,2,20.0,2,50.0,36.2372621944,66.7683606473,63.385750384,Yes,0.3725834936,NO_SOLUTION,,0.3659999967,0.3791669905
