Date,Open,High,Low,Close,RSI_2,RSI_2_LOW,RSI_2_HIGH,RSI_2_OPEN,RSI_3,RSI_3_LOW,RSI_3_HIGH,RSI_3_OPEN,RSI_4,RSI_4_LOW,RSI_4_HIGH,RSI_4_OPEN,RSI_5,RSI_5_LOW,RSI_5_HIGH,RSI_5_OPEN,RSI_6,RSI_6_LOW,RSI_6_HIGH,RSI_6_OPEN,RSI_7,RSI_7_LOW,RSI_7_HIGH,RSI_7_OPEN,RSI_8,RSI_8_LOW,RSI_8_HIGH,RSI_8_OPEN,RSI_9,RSI_9_LOW,RSI_9_HIGH,RSI_9_OPEN,RSI_10,RSI_10_LOW,RSI_10_HIGH,RSI_10_OPEN,RSI_11,RSI_11_LOW,RSI_11_HIGH,RSI_11_OPEN,RSI_12,RSI_12_LOW,RSI_12_HIGH,RSI_12_OPEN,RSI_13,RSI_13_LOW,RSI_13_HIGH,RSI_13_OPEN,RSI_14,RSI_14_LOW,RSI_14_HIGH,RSI_14_OPEN,MA_10,MA_20,MA_30,MA_40,MA_50,MA_60,MA_100,MA_150,MA_200,BB_High_10_2.0,BB_Low_10_2.0,BB_Mavg_10_2.0,BB_High_20_2.0,BB_Low_20_2.0,BB_Mavg_20_2.0,BB_High_30_2.0,BB_Low_30_2.0,BB_Mavg_30_2.0,BB_High_10_1.5,BB_Low_10_1.5,BB_Mavg_10_1.5,BB_High_20_1.5,BB_Low_20_1.5,BB_Mavg_20_1.5,BB_High_30_1.5,BB_Low_30_1.5,BB_Mavg_30_1.5,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Fast_Line,MACD_Fast_Signal,MACD_Fast_Histogram
2/2/2012,0.654999971,0.671000004,0.646332979,0.657666981,90.94756808,86.98005945,93.33630909,90.24832278,82.58802287,77.97979774,86.02775053,81.68617605,78.45381169,74.34355174,81.87049048,77.60975228,76.513736,73.03569927,79.60795549,75.77856873,75.51123894,72.5611044,78.26080409,74.87559736,74.8497273,72.30294171,77.30466604,74.29351211,74.2713464,72.02869776,76.48886601,73.77660433,73.67597849,71.66548475,75.7039763,73.22899344,73.03432796,71.20496167,74.90948615,72.62508889,72.3472733,70.66281141,74.09687881,71.96854329,71.62690882,70.06131862,73.2711697,71.2734241,70.88786974,69.42209822,72.4418788,70.55574554,70.14361564,68.76341211,71.61883018,69.82992811,0.62668339,0.574325045,0.527888929,0.504791722,0.491930038,0.498841698,0.495650008,0.51682112,0.602820845,0.658552366,0.594814415,0.62668339,0.698863699,0.44978639,0.574325045,0.694912299,0.360865559,0.527888929,0.650585122,0.602781658,0.62668339,0.667729035,0.480921054,0.574325045,0.653156456,0.402621402,0.527888929,0.04495565,0.041093608,0.003862042,0.018432307,0.014776474,0.003655833
2/3/2012,0.680167019,0.695167005,0.672167003,0.685500026,96.3741489,94.91348996,96.9989768,95.90363668,90.16755704,87.57703271,91.45889145,89.27282897,85.86720438,83.0781091,87.37582369,84.86972284,83.1753393,80.52987804,84.6841539,82.20841871,81.403326,78.98068661,82.83753383,80.50455961,80.09382508,77.8848779,81.43807826,79.26543589,78.99733206,76.97096055,80.25689766,78.23116778,77.99045377,76.11517556,79.17587465,77.27685241,77.01817341,75.26783825,78.13986663,76.34866137,76.06032554,74.41461699,77.12703376,75.42814298,75.11331846,73.55680229,76.13195368,74.51325446,74.1805202,72.70148477,75.15644302,73.60858645,73.26741173,71.85687059,74.20478939,72.72053076,0.632416695,0.585225046,0.536905597,0.509637547,0.496646698,0.500852815,0.497856678,0.516302233,0.60189001,0.680029999,0.584803392,0.632416695,0.70861181,0.461838282,0.585225046,0.707740559,0.366070634,0.536905597,0.668126673,0.596706718,0.632416695,0.677765119,0.492684973,0.585225046,0.665031818,0.408779375,0.536905597,0.047728245,0.042420535,0.00530771,0.026298221,0.019385173,0.006913049
2/6/2012,0.67900002,0.679666996,0.652999997,0.663667023,49.66542995,40.15665075,77.02164078,75.29283444,59.62679332,51.1604843,79.31406739,78.23723384,63.14397849,55.91464715,78.33575102,77.55790518,65.07646552,58.82282742,77.42258289,76.81508619,66.37132409,60.87881549,76.75876113,76.26122724,67.25929591,62.37584081,76.20863268,75.78826294,67.82795917,63.44522447,75.66832368,75.30545882,68.1355024,64.17363825,75.08885576,74.77077042,68.23218267,64.63003277,74.45672199,74.17464712,68.1628828,64.87197796,73.77663061,73.52420915,67.96657104,64.94743044,73.06084064,72.83327464,67.67591914,64.89571496,72.32337474,72.11692741,67.31749552,64.74852136,71.57721054,71.38890016,0.6364501,0.594825047,0.545600064,0.513504223,0.501250039,0.502350049,0.499563349,0.515305567,0.60029168,0.687042401,0.585857799,0.6364501,0.71104551,0.478604585,0.594825047,0.714798004,0.376402124,0.545600064,0.674394326,0.598505874,0.6364501,0.681990394,0.5076597,0.594825047,0.672498519,0.418701609,0.545600064,0.047614931,0.043459414,0.004155516,0.02037044,0.01977928,0.000591161
2/7/2012,0.653333008,0.670832992,0.643333018,0.664332986,51.11092253,26.10165424,61.81416665,34.04541016,60.24292271,40.47476916,65.39705333,48.06757053,63.53642214,47.52607325,66.96924225,54.10758449,65.36383025,51.92309615,67.93872634,57.65394169,66.59709955,55.01697857,68.65133253,60.0708227,67.44494072,57.28508182,69.1521373,61.79150287,67.98575236,58.95553407,69.44829564,63.00886326,68.27307444,60.1693221,69.55596319,63.83999919,68.35453244,61.0278681,69.50100832,64.37032442,68.27341301,61.60932829,69.31324195,64.66698126,68.06767013,61.97543626,69.02191978,64.78382319,67.76930887,62.1751992,68.65326147,64.76398162,67.40444753,62.24740852,68.22944531,64.64169914,0.640116698,0.603150046,0.552994497,0.518470872,0.506683359,0.505155599,0.500906679,0.51446112,0.59871001,0.69289861,0.587334786,0.640116698,0.714121904,0.492178188,0.603150046,0.722910996,0.383077997,0.552994497,0.679703132,0.600530264,0.640116698,0.68637894,0.519921152,0.603150046,0.680431871,0.425557122,0.552994497,0.047036657,0.044174863,0.002861794,0.015986799,0.018262288,-0.002275488
2/8/2012,0.668500006,0.703832984,0.668500006,0.689499974,84.58003088,64.03577703,88.90559302,64.03577703,78.68332849,65.22401776,83.13763964,65.22401776,76.26877922,66.51137689,80.20524003,66.51137689,75.05843541,67.45815012,78.48764742,67.45815012,74.39329945,68.2001555,77.39769848,68.2001555,73.95574533,68.73890205,76.61884981,68.73890205,73.58184824,69.07055126,75.97370323,69.07055126,73.1934446,69.20886112,75.36894406,69.20886112,72.75973379,69.17978045,74.76069128,69.17978045,72.27468079,69.01384153,74.13262546,69.01384153,71.74407312,68.74108363,73.48278106,68.74108363,71.17836968,68.38840342,72.81588898,68.38840342,70.58894399,67.97851893,72.13912813,67.97851893,0.645483393,0.611966693,0.56101673,0.523645872,0.512946698,0.508161148,0.502261678,0.513906674,0.59724001,0.705806422,0.585160364,0.645483393,0.720942348,0.502991038,0.611966693,0.733214509,0.38881895,0.56101673,0.690725664,0.600241121,0.645483393,0.693698435,0.530234952,0.611966693,0.690165064,0.431868395,0.56101673,0.048055186,0.044950928,0.003104258,0.019496569,0.018756,0.000740569
2/9/2012,0.700833023,0.700833023,0.678833008,0.695500016,88.37480277,53.52062514,90.46126614,90.46126614,81.71609686,60.76458708,83.76864139,83.76864139,78.63970796,63.6989299,80.38181601,80.38181601,76.97870857,65.36524311,78.45319272,78.45319272,75.99611871,66.49914266,77.26119421,77.26119421,75.32816658,67.30012553,76.43203048,76.43203048,74.78287429,67.83783488,75.76227347,75.76227347,74.26394618,68.15356074,75.14612824,75.14612824,73.72850144,68.2832638,74.53350055,74.53350055,73.16231701,68.26094385,73.90488386,73.90488386,72.56555922,68.11787266,73.25663331,73.25663331,71.9447845,67.88159734,72.59257045,72.59257045,71.30862738,67.5754806,71.91936635,71.91936635,0.653416693,0.620766693,0.56927783,0.529937548,0.518560038,0.510400032,0.503658349,0.513087787,0.595563345,0.717009175,0.589824212,0.653416693,0.726839684,0.514693703,0.620766693,0.742706311,0.395849349,0.56927783,0.701111054,0.605722332,0.653416693,0.700321436,0.54121195,0.620766693,0.699349191,0.439206469,0.56927783,0.048784177,0.045717577,0.0030666,0.020361873,0.019398349,0.000963523
2/10/2012,0.673500001,0.67750001,0.645166993,0.652499974,19.5202686,17.23086274,35.68452708,31.50973303,32.30630668,29.28646592,49.82019478,45.84374348,40.23177472,37.1385224,56.18616392,52.83385795,45.55746069,42.59263608,59.73296999,56.90018772,49.40256951,46.62046663,62.02063776,59.58560385,52.28971987,49.69766913,63.5984577,61.47134324,54.49239086,52.08251925,64.69838836,62.81599589,56.17678858,53.93658531,65.44362264,63.76076141,57.4571261,55.37311748,65.91463498,64.39796517,58.41833183,56.47738476,66.17131729,64.79542482,59.12632048,57.31609612,66.26098882,65.00592386,59.63328905,57.94238282,66.22174872,65.07146221,59.98089287,58.39885456,66.08427976,65.02560464,0.656199992,0.626541692,0.576833396,0.535950047,0.523500038,0.512244481,0.504811678,0.512226673,0.59367251,0.716885531,0.595514453,0.656199992,0.726121335,0.526962049,0.626541692,0.744252109,0.409414684,0.576833396,0.701714146,0.610685837,0.656199992,0.701226425,0.55185696,0.626541692,0.702397431,0.451269362,0.576833396,0.045369176,0.045647897,-0.000278721,0.006491493,0.014235607,-0.007744114
2/13/2012,0.672500014,0.675000012,0.634333015,0.659332991,35.49315801,11.77099909,55.6673,53.33867478,40.8336724,23.35643862,54.09295301,52.3904306,45.83666133,31.55122287,55.42170051,54.12629568,49.64053732,37.47845588,57.02964539,55.99944352,52.56764755,41.95865975,58.51736353,57.67009296,54.8497572,45.43970592,59.7960212,59.08070413,56.62946969,48.18040534,60.84539838,60.22848542,58.00524049,50.34845588,61.67189981,61.13034884,59.05269404,52.0633624,62.29505055,61.81253704,59.83324721,53.41565937,62.74023117,62.3049058,60.39776099,54.47631207,63.03424882,62.63733418,60.78842088,55.30190172,63.20275524,62.83763181,61.04001981,55.93788083,63.2689085,62.9305013,0.661849994,0.634408343,0.584205596,0.542629197,0.527190037,0.513836148,0.506210008,0.511678893,0.59191834,0.711041003,0.612658985,0.661849994,0.716758173,0.552058513,0.634408343,0.745931712,0.422479479,0.584205596,0.69874325,0.624956737,0.661849994,0.696170716,0.57264597,0.634408343,0.705500183,0.462911008,0.584205596,0.042721662,0.04506265,-0.002340988,0.00227424,0.00945106,-0.00717682
2/14/2012,0.652666986,0.668833017,0.649999976,0.668833017,58.4329154,23.01505732,58.4329154,25.58545071,53.14323302,32.45693491,53.14323302,34.47810337,53.85795376,39.15043252,53.85795376,40.8533705,55.44743501,44.00574389,55.44743501,45.48102384,57.05006228,47.67915234,57.05006228,48.98077464,58.4647715,50.52926189,58.4647715,51.69283002,59.64096077,52.7617323,59.64096077,53.81199085,60.57790891,54.51045039,60.57790891,55.46539606,61.29514867,55.87250059,61.29514867,56.74577357,61.82011143,56.92307265,61.82011143,57.7253897,62.18199487,57.72232745,62.18199487,58.46236264,62.40862882,58.31902886,62.40862882,59.00396975,62.52499533,58.75282315,62.52499533,59.38873305,0.668199998,0.642424995,0.592077797,0.549570847,0.530906698,0.515738915,0.508028338,0.511616667,0.590137505,0.699827528,0.636572468,0.668199998,0.702348748,0.582501242,0.642424995,0.746351895,0.437803699,0.592077797,0.691920646,0.644479351,0.668199998,0.687367809,0.59748218,0.642424995,0.70778337,0.476372223,0.592077797,0.040918379,0.044233796,-0.003315417,0.0030204,0.006878796,-0.003858396
2/15/2012,0.683000028,0.702499986,0.675000012,0.677833021,75.16603714,71.56254686,88.19295449,79.82803404,63.83530573,61.03663857,77.75037346,68.02426781,61.1293438,59.10052345,72.85398743,64.3543018,60.80016404,59.25940337,70.51064657,63.32955016,61.21666141,59.99503525,69.36264401,63.2627399,61.84156984,60.83939578,68.79482491,63.54319342,62.46295901,61.6181728,68.49971263,63.91166134,62.99409394,62.26610049,68.31638136,64.25197319,63.40474108,62.76592031,68.16100092,64.51512404,63.69173112,63.12268496,67.99216489,64.68560453,63.86455989,63.35130031,67.79200357,64.76457359,63.93790995,63.47011806,67.55545439,64.76094765,63.92773342,63.49764172,67.28408174,64.68660915,0.671466601,0.647149995,0.599722231,0.556508347,0.534866698,0.518841682,0.510424998,0.51166222,0.58856167,0.699440306,0.643492896,0.671466601,0.702412341,0.591887649,0.647149995,0.747365939,0.452078522,0.599722231,0.69244688,0.650486322,0.671466601,0.688596755,0.605703235,0.647149995,0.710455012,0.488989449,0.599722231,0.039757193,0.043338476,-0.003581282,0.005474974,0.006317267,-0.000842293
