Buy RSI Period,Sell RSI Period,Buy RSI <,Sell RSI >,Swing Final Portfolio,Swing ROI %,Swing CAGR %,Buy Count,Sell Count,Total Invested
2,2,20.0,50.0,34.93056175777179,-96.50694382422283,-20.041051450192015,243,243,1000.0
2,2,20.0,90.0,14649.262307472653,1364.9262307472652,19.600140889696817,138,138,1000.0
2,2,40.0,50.0,0.316357029304801,-99.96836429706953,-41.56856462947373,397,397,1000.0
2,2,40.0,90.0,4319.115964979883,331.9115964979883,10.246664081332169,175,174,1000.0
